timestamp,localized,hr,hrv
1684206046261.9033,2023-05-15T20:00:46.261(UTC-07:00),61.453,19.915
1684206047007.4194,2023-05-15T20:00:47.007(UTC-07:00),66.838,4.522
1684206047724.6775,2023-05-15T20:00:47.724(UTC-07:00),80.747,19.294
1684206048933.8386,2023-05-15T20:00:48.933(UTC-07:00),52.021,14.817
1684206049632.4194,2023-05-15T20:00:49.632(UTC-07:00),84.028,3.281
1684206050655.9678,2023-05-15T20:00:50.655(UTC-07:00),68.527,16.506
1684206051404.1936,2023-05-15T20:00:51.404(UTC-07:00),63.433,20.595
1684206052295,2023-05-15T20:00:52.295(UTC-07:00),72.016,3.489
1684206053396.4517,2023-05-15T20:00:53.396(UTC-07:00),53.629,9.803
1684206054500.6453,2023-05-15T20:00:54.500(UTC-07:00),62.348,9.668
1684206055380.1292,2023-05-15T20:00:55.380(UTC-07:00),59.426,5.797
1684206056410.3225,2023-05-15T20:00:56.410(UTC-07:00),66.285,3.937
1684206057179.1936,2023-05-15T20:00:57.179(UTC-07:00),65.143,5.717
1684206057948.0645,2023-05-15T20:00:57.948(UTC-07:00),75.866,9.580
1684206059031.6128,2023-05-15T20:00:59.031(UTC-07:00),66.356,1.213
1684206059806.1292,2023-05-15T20:00:59.806(UTC-07:00),65.109,10.757
1684206060575,2023-05-15T20:01:00.575(UTC-07:00),79.098,12.742
1684206061744.8386,2023-05-15T20:01:01.744(UTC-07:00),52.189,12.920
1684206062840.6453,2023-05-15T20:01:02.840(UTC-07:00),61.594,17.504
1684206063599.1936,2023-05-15T20:01:03.599(UTC-07:00),80.747,28.558
1684206064394.3547,2023-05-15T20:01:04.394(UTC-07:00),59.644,1.950
1684206065529.516,2023-05-15T20:01:05.529(UTC-07:00),54.944,25.802
1684206066288.0645,2023-05-15T20:01:06.288(UTC-07:00),77.516,17.872
1684206067371.6128,2023-05-15T20:01:07.371(UTC-07:00),64.780,9.836
1684206068170.484,2023-05-15T20:01:08.170(UTC-07:00),64.978,12.538
1684206068853.0645,2023-05-15T20:01:08.853(UTC-07:00),85.724,20.944
1684206069880.3225,2023-05-15T20:01:09.880(UTC-07:00),68.565,3.587
1684206070693.2258,2023-05-15T20:01:10.693(UTC-07:00),73.810,11.915
1684206071458.3872,2023-05-15T20:01:11.458(UTC-07:00),66.876,1.689
1684206072491.2903,2023-05-15T20:01:12.491(UTC-07:00),67.373,6.437
1684206073255.484,2023-05-15T20:01:13.255(UTC-07:00),62.716,4.160
1684206074395.3225,2023-05-15T20:01:14.395(UTC-07:00),63.682,3.691
1684206075096.5806,2023-05-15T20:01:15.096(UTC-07:00),84.319,21.603
1684206075810.1614,2023-05-15T20:01:15.810(UTC-07:00),68.893,5.210
1684206076537.742,2023-05-15T20:01:16.537(UTC-07:00),80.294,4.026
1684206077645.6128,2023-05-15T20:01:17.645(UTC-07:00),66.675,2.218
1684206078316.9033,2023-05-15T20:01:18.316(UTC-07:00),88.027,7.733
1684206079060.4517,2023-05-15T20:01:19.060(UTC-07:00),65.810,0.865
1684206080199.3225,2023-05-15T20:01:20.199(UTC-07:00),62.475,25.552
1684206080903.5483,2023-05-15T20:01:20.903(UTC-07:00),83.969,18.159
1684206081605.8064,2023-05-15T20:01:21.605(UTC-07:00),69.384,6.909
1684206082323.0645,2023-05-15T20:01:22.323(UTC-07:00),80.243,3.726
1684206083008.3547,2023-05-15T20:01:23.008(UTC-07:00),88.519,19.135
1684206084072.258,2023-05-15T20:01:24.072(UTC-07:00),69.531,10.712
