timestamp,localized,temperature,pressure,humidity,altitude
1684206048130,2023-05-15T20:00:48.130(UTC-07:00),,710.3035,,2897.6426
1684206048420,2023-05-15T20:00:48.420(UTC-07:00),,710.3035,,2897.6426
1684206048710,2023-05-15T20:00:48.710(UTC-07:00),,710.3117,,2897.5516
1684206049025,2023-05-15T20:00:49.025(UTC-07:00),,710.3117,,2897.5516
1684206049340,2023-05-15T20:00:49.340(UTC-07:00),,710.3117,,2897.5516
1684206049655,2023-05-15T20:00:49.655(UTC-07:00),,710.3117,,2897.5516
1684206049940,2023-05-15T20:00:49.940(UTC-07:00),,710.3363,,2897.2785
1684206050225,2023-05-15T20:00:50.225(UTC-07:00),,710.3363,,2897.2785
1684206050511,2023-05-15T20:00:50.511(UTC-07:00),,710.3363,,2897.2785
1684206050825,2023-05-15T20:00:50.825(UTC-07:00),,710.3363,,2897.2785
1684206051140,2023-05-15T20:00:51.140(UTC-07:00),,710.3777,,2896.8190
1684206051455,2023-05-15T20:00:51.455(UTC-07:00),,710.3777,,2896.8190
1684206051745,2023-05-15T20:00:51.745(UTC-07:00),,710.3777,,2896.8190
1684206052035,2023-05-15T20:00:52.035(UTC-07:00),,710.4343,,2896.1908
1684206052325,2023-05-15T20:00:52.325(UTC-07:00),,710.4343,,2896.1908
1684206052635,2023-05-15T20:00:52.635(UTC-07:00),,710.4343,,2896.1908
1684206052945,2023-05-15T20:00:52.945(UTC-07:00),,710.4343,,2896.1908
1684206053255,2023-05-15T20:00:53.255(UTC-07:00),,710.4171,,2896.3817
1684206053560,2023-05-15T20:00:53.560(UTC-07:00),,710.4171,,2896.3817
1684206053865,2023-05-15T20:00:53.865(UTC-07:00),,710.4171,,2896.3817
1684206054170,2023-05-15T20:00:54.170(UTC-07:00),,710.4171,,2896.3817
1684206054465,2023-05-15T20:00:54.465(UTC-07:00),,710.4417,,2896.1086
1684206054760,2023-05-15T20:00:54.760(UTC-07:00),,710.4417,,2896.1086
1684206055055,2023-05-15T20:00:55.055(UTC-07:00),,710.4417,,2896.1086
1684206055340,2023-05-15T20:00:55.340(UTC-07:00),,710.4417,,2896.1086
1684206055625,2023-05-15T20:00:55.625(UTC-07:00),,710.4832,,2895.6481
1684206055911,2023-05-15T20:00:55.911(UTC-07:00),,710.4832,,2895.6481
1684206056225,2023-05-15T20:00:56.225(UTC-07:00),,710.4832,,2895.6481
1684206056540,2023-05-15T20:00:56.540(UTC-07:00),,710.4832,,2895.6481
1684206056855,2023-05-15T20:00:56.855(UTC-07:00),,710.4832,,2895.6481
1684206057140,2023-05-15T20:00:57.140(UTC-07:00),,710.4832,,2895.6481
1684206057425,2023-05-15T20:00:57.425(UTC-07:00),,710.4832,,2895.6481
1684206057710,2023-05-15T20:00:57.710(UTC-07:00),,710.5250,,2895.1842
1684206058045,2023-05-15T20:00:58.045(UTC-07:00),,710.5250,,2895.1842
1684206058380,2023-05-15T20:00:58.380(UTC-07:00),,710.5250,,2895.1842
1684206058715,2023-05-15T20:00:58.715(UTC-07:00),,710.5250,,2895.1842
1684206058984,2023-05-15T20:00:58.984(UTC-07:00),,710.5664,,2894.7247
1684206059254,2023-05-15T20:00:59.254(UTC-07:00),,710.5664,,2894.7247
1684206059524,2023-05-15T20:00:59.524(UTC-07:00),,710.5664,,2894.7247
1684206059834,2023-05-15T20:00:59.834(UTC-07:00),,710.5742,,2894.6382
1684206060144,2023-05-15T20:01:00.144(UTC-07:00),,710.5742,,2894.6382
1684206060455,2023-05-15T20:01:00.455(UTC-07:00),,710.5742,,2894.6382
1684206060745,2023-05-15T20:01:00.745(UTC-07:00),,710.5742,,2894.6382
1684206061035,2023-05-15T20:01:01.035(UTC-07:00),,710.5820,,2894.5516
1684206061325,2023-05-15T20:01:01.325(UTC-07:00),,710.5820,,2894.5516
1684206061635,2023-05-15T20:01:01.635(UTC-07:00),,710.5820,,2894.5516
1684206061945,2023-05-15T20:01:01.945(UTC-07:00),,710.5820,,2894.5516
1684206062255,2023-05-15T20:01:02.255(UTC-07:00),,710.5820,,2894.5516
1684206062555,2023-05-15T20:01:02.555(UTC-07:00),,710.5820,,2894.5516
1684206062855,2023-05-15T20:01:02.855(UTC-07:00),,710.5820,,2894.5516
1684206063155,2023-05-15T20:01:03.155(UTC-07:00),,710.5898,,2894.4651
1684206063455,2023-05-15T20:01:03.455(UTC-07:00),,710.5898,,2894.4651
1684206063755,2023-05-15T20:01:03.755(UTC-07:00),,710.5898,,2894.4651
1684206064055,2023-05-15T20:01:04.055(UTC-07:00),,710.5898,,2894.4651
1684206064340,2023-05-15T20:01:04.340(UTC-07:00),,710.6144,,2894.1921
1684206064625,2023-05-15T20:01:04.625(UTC-07:00),,710.6144,,2894.1921
1684206064911,2023-05-15T20:01:04.911(UTC-07:00),,710.6144,,2894.1921
1684206065226,2023-05-15T20:01:05.226(UTC-07:00),,710.6144,,2894.1921
1684206065541,2023-05-15T20:01:05.541(UTC-07:00),,710.6390,,2893.9191
1684206065856,2023-05-15T20:01:05.856(UTC-07:00),,710.6390,,2893.9191
1684206066140,2023-05-15T20:01:06.140(UTC-07:00),,710.6390,,2893.9191
1684206066425,2023-05-15T20:01:06.425(UTC-07:00),,710.6390,,2893.9191
1684206066710,2023-05-15T20:01:06.710(UTC-07:00),,710.6621,,2893.6628
1684206067050,2023-05-15T20:01:07.050(UTC-07:00),,710.6621,,2893.6628
