timestamp,localized,red,ir,max_dietemp
1684198543997,2023-05-15T17:55:43.997(UTC-07:00),30483,42872
1684198544001,2023-05-15T17:55:44.001(UTC-07:00),30485,42879,
1684198544005,2023-05-15T17:55:44.005(UTC-07:00),30487,42885,
1684198544010,2023-05-15T17:55:44.010(UTC-07:00),30489,42891,
1684198544014,2023-05-15T17:55:44.014(UTC-07:00),30491,42896,
1684198544018,2023-05-15T17:55:44.018(UTC-07:00),30492,42899,
1684198544022,2023-05-15T17:55:44.022(UTC-07:00),30492,42901,
1684198544027,2023-05-15T17:55:44.027(UTC-07:00),30492,42902,
1684198544031,2023-05-15T17:55:44.031(UTC-07:00),30490,42901,
1684198544035,2023-05-15T17:55:44.035(UTC-07:00),30488,42899,
1684198544040,2023-05-15T17:55:44.040(UTC-07:00),30485,42894,
1684198544044,2023-05-15T17:55:44.044(UTC-07:00),30483,42890,
1684198544048,2023-05-15T17:55:44.048(UTC-07:00),30481,42886,
1684198544052,2023-05-15T17:55:44.052(UTC-07:00),30480,42884,
1684198544057,2023-05-15T17:55:44.057(UTC-07:00),30480,42884,
1684198544061,2023-05-15T17:55:44.061(UTC-07:00),30481,42886,
1684198544065,2023-05-15T17:55:44.065(UTC-07:00),30481,42889,
1684198544070,2023-05-15T17:55:44.070(UTC-07:00),30482,42890,
1684198544074,2023-05-15T17:55:44.074(UTC-07:00),30482,42890,
1684198544078,2023-05-15T17:55:44.078(UTC-07:00),30481,42889,
1684198544082,2023-05-15T17:55:44.082(UTC-07:00),30481,42886,
1684198544087,2023-05-15T17:55:44.087(UTC-07:00),30480,42881,
1684198544091,2023-05-15T17:55:44.091(UTC-07:00),30478,42876,
1684198544095,2023-05-15T17:55:44.095(UTC-07:00),30476,42871,
1684198544100,2023-05-15T17:55:44.100(UTC-07:00),30474,42867,
1684198544104,2023-05-15T17:55:44.104(UTC-07:00),30472,42864,
1684198544108,2023-05-15T17:55:44.108(UTC-07:00),30471,42861,
1684198544112,2023-05-15T17:55:44.112(UTC-07:00),30470,42860,
1684198544117,2023-05-15T17:55:44.117(UTC-07:00),30470,42859,
1684198544121,2023-05-15T17:55:44.121(UTC-07:00),30469,42858,
1684198544125,2023-05-15T17:55:44.125(UTC-07:00),30469,42859,
1684198544130,2023-05-15T17:55:44.130(UTC-07:00),30468,42860,35
1684198544150,2023-05-15T17:55:44.150(UTC-07:00),30468,42861
1684198544170,2023-05-15T17:55:44.170(UTC-07:00),30468,42863,
1684198544190,2023-05-15T17:55:44.190(UTC-07:00),30468,42864,
1684198544210,2023-05-15T17:55:44.210(UTC-07:00),30468,42864,
1684198544230,2023-05-15T17:55:44.230(UTC-07:00),30468,42863,
1684198544250,2023-05-15T17:55:44.250(UTC-07:00),30467,42861,
1684198544270,2023-05-15T17:55:44.270(UTC-07:00),30467,42860,
1684198544291,2023-05-15T17:55:44.291(UTC-07:00),30466,42859,
1684198544311,2023-05-15T17:55:44.311(UTC-07:00),30466,42860,
1684198544331,2023-05-15T17:55:44.331(UTC-07:00),30467,42863,
1684198544351,2023-05-15T17:55:44.351(UTC-07:00),30467,42866,
1684198544371,2023-05-15T17:55:44.371(UTC-07:00),30468,42870,
1684198544391,2023-05-15T17:55:44.391(UTC-07:00),30470,42874,
1684198544411,2023-05-15T17:55:44.411(UTC-07:00),30471,42878,
1684198544431,2023-05-15T17:55:44.431(UTC-07:00),30473,42882,
1684198544452,2023-05-15T17:55:44.452(UTC-07:00),30474,42886,
1684198544472,2023-05-15T17:55:44.472(UTC-07:00),30476,42891,
1684198544492,2023-05-15T17:55:44.492(UTC-07:00),30477,42895,
1684198544512,2023-05-15T17:55:44.512(UTC-07:00),30478,42899,
1684198544532,2023-05-15T17:55:44.532(UTC-07:00),30479,42902,
1684198544552,2023-05-15T17:55:44.552(UTC-07:00),30480,42904,
1684198544572,2023-05-15T17:55:44.572(UTC-07:00),30480,42906,
1684198544592,2023-05-15T17:55:44.592(UTC-07:00),30481,42907,
1684198544613,2023-05-15T17:55:44.613(UTC-07:00),30481,42909,
1684198544633,2023-05-15T17:55:44.633(UTC-07:00),30481,42911,
1684198544653,2023-05-15T17:55:44.653(UTC-07:00),30481,42912,
1684198544673,2023-05-15T17:55:44.673(UTC-07:00),30481,42912,
1684198544693,2023-05-15T17:55:44.693(UTC-07:00),30480,42909,
1684198544713,2023-05-15T17:55:44.713(UTC-07:00),30478,42905,
1684198544733,2023-05-15T17:55:44.733(UTC-07:00),30476,42898,
1684198544753,2023-05-15T17:55:44.753(UTC-07:00),30473,42890,
1684198544774,2023-05-15T17:55:44.774(UTC-07:00),30469,42881,35
1684198544796,2023-05-15T17:55:44.796(UTC-07:00),30466,42873
1684198544819,2023-05-15T17:55:44.819(UTC-07:00),30464,42866,
1684198544841,2023-05-15T17:55:44.841(UTC-07:00),30462,42861,
1684198544864,2023-05-15T17:55:44.864(UTC-07:00),30460,42858,
1684198544886,2023-05-15T17:55:44.886(UTC-07:00),30459,42855,
1684198544909,2023-05-15T17:55:44.909(UTC-07:00),30458,42853,
