timestamp,localized,red,ir
1684206047921,2023-05-15T20:00:47.921(UTC-07:00),28501,303414
1684206047915,2023-05-15T20:00:47.915(UTC-07:00),28501,303413
1684206047909,2023-05-15T20:00:47.909(UTC-07:00),28501,303412
1684206047903,2023-05-15T20:00:47.903(UTC-07:00),28501,303411
1684206047897,2023-05-15T20:00:47.897(UTC-07:00),28501,303412
1684206047891,2023-05-15T20:00:47.891(UTC-07:00),28501,303413
1684206047885,2023-05-15T20:00:47.885(UTC-07:00),28502,303414
1684206047879,2023-05-15T20:00:47.879(UTC-07:00),28502,303416
1684206047873,2023-05-15T20:00:47.873(UTC-07:00),28503,303419
1684206047867,2023-05-15T20:00:47.867(UTC-07:00),28504,303421
1684206047861,2023-05-15T20:00:47.861(UTC-07:00),28504,303423
1684206047855,2023-05-15T20:00:47.855(UTC-07:00),28505,303425
1684206047849,2023-05-15T20:00:47.849(UTC-07:00),28507,303427
1684206047843,2023-05-15T20:00:47.843(UTC-07:00),28508,303430
1684206047837,2023-05-15T20:00:47.837(UTC-07:00),28510,303433
1684206047831,2023-05-15T20:00:47.831(UTC-07:00),28511,303436
1684206047825,2023-05-15T20:00:47.825(UTC-07:00),28513,303439
1684206047819,2023-05-15T20:00:47.819(UTC-07:00),28514,303442
1684206047813,2023-05-15T20:00:47.813(UTC-07:00),28515,303445
1684206047807,2023-05-15T20:00:47.807(UTC-07:00),28516,303446
1684206047801,2023-05-15T20:00:47.801(UTC-07:00),28517,303447
1684206047795,2023-05-15T20:00:47.795(UTC-07:00),28517,303447
1684206047789,2023-05-15T20:00:47.789(UTC-07:00),28516,303448
1684206047783,2023-05-15T20:00:47.783(UTC-07:00),28516,303448
1684206047777,2023-05-15T20:00:47.777(UTC-07:00),28515,303447
1684206047771,2023-05-15T20:00:47.771(UTC-07:00),28514,303446
1684206047765,2023-05-15T20:00:47.765(UTC-07:00),28513,303443
1684206047759,2023-05-15T20:00:47.759(UTC-07:00),28511,303438
1684206047753,2023-05-15T20:00:47.753(UTC-07:00),28508,303432
1684206047747,2023-05-15T20:00:47.747(UTC-07:00),28505,303425
1684206047741,2023-05-15T20:00:47.741(UTC-07:00),28502,303418
1684206047735,2023-05-15T20:00:47.735(UTC-07:00),28499,303410
1684206047755,2023-05-15T20:00:47.755(UTC-07:00),28495,303403
1684206047775,2023-05-15T20:00:47.775(UTC-07:00),28492,303396
1684206047795,2023-05-15T20:00:47.795(UTC-07:00),28488,303389
1684206047815,2023-05-15T20:00:47.815(UTC-07:00),28484,303383
1684206047835,2023-05-15T20:00:47.835(UTC-07:00),28482,303378
1684206047855,2023-05-15T20:00:47.855(UTC-07:00),28480,303374
1684206047876,2023-05-15T20:00:47.876(UTC-07:00),28480,303372
1684206047896,2023-05-15T20:00:47.896(UTC-07:00),28480,303372
1684206047916,2023-05-15T20:00:47.916(UTC-07:00),28480,303372
1684206047936,2023-05-15T20:00:47.936(UTC-07:00),28480,303373
1684206047956,2023-05-15T20:00:47.956(UTC-07:00),28480,303374
1684206047976,2023-05-15T20:00:47.976(UTC-07:00),28479,303374
1684206047997,2023-05-15T20:00:47.997(UTC-07:00),28479,303374
1684206048017,2023-05-15T20:00:48.017(UTC-07:00),28478,303373
1684206048037,2023-05-15T20:00:48.037(UTC-07:00),28478,303373
1684206048057,2023-05-15T20:00:48.057(UTC-07:00),28478,303374
1684206048077,2023-05-15T20:00:48.077(UTC-07:00),28478,303374
1684206048097,2023-05-15T20:00:48.097(UTC-07:00),28479,303375
1684206048117,2023-05-15T20:00:48.117(UTC-07:00),28479,303376
1684206048138,2023-05-15T20:00:48.138(UTC-07:00),28480,303376
1684206048158,2023-05-15T20:00:48.158(UTC-07:00),28480,303378
1684206048178,2023-05-15T20:00:48.178(UTC-07:00),28481,303380
1684206048198,2023-05-15T20:00:48.198(UTC-07:00),28483,303383
1684206048218,2023-05-15T20:00:48.218(UTC-07:00),28484,303386
1684206048238,2023-05-15T20:00:48.238(UTC-07:00),28486,303390
1684206048259,2023-05-15T20:00:48.259(UTC-07:00),28488,303393
1684206048279,2023-05-15T20:00:48.279(UTC-07:00),28489,303395
1684206048299,2023-05-15T20:00:48.299(UTC-07:00),28491,303398
1684206048319,2023-05-15T20:00:48.319(UTC-07:00),28492,303401
1684206048339,2023-05-15T20:00:48.339(UTC-07:00),28493,303405
1684206048359,2023-05-15T20:00:48.359(UTC-07:00),28494,303408
1684206048380,2023-05-15T20:00:48.380(UTC-07:00),28495,303411
1684206048402,2023-05-15T20:00:48.402(UTC-07:00),28496,303414
1684206048424,2023-05-15T20:00:48.424(UTC-07:00),28498,303417
1684206048447,2023-05-15T20:00:48.447(UTC-07:00),28499,303419
1684206048469,2023-05-15T20:00:48.469(UTC-07:00),28500,303419
1684206048492,2023-05-15T20:00:48.492(UTC-07:00),28499,303419
1684206048514,2023-05-15T20:00:48.514(UTC-07:00),28499,303417
1684206048537,2023-05-15T20:00:48.537(UTC-07:00),28498,303414
